time	x	y	z
1500453717.9354606	-6113983.43206	-248945.983669	-3368583.47403
1500453718.9354606	-6112696.69036	-253777.395963	-3376934.55443
1500453719.9354606	-6095106.67856	-241744.172474	-3370194.10418
1500453720.9354606	-6118244.47569	-263011.582895	-3343803.49521
1500453721.9354606	-6102194.22719	-253885.663725	-3354566.57355
1500453722.9354606	-6116271.2612	-263159.706372	-3337543.04487
1500453723.9354606	-6130486.24857	-253183.389296	-3322985.27801
1500453724.9354606	-6136350.95586	-259082.403691	-3314223.20132
1500453725.9354606	-6119638.78856	-275415.904893	-3320405.60101
1500453726.9354606	-6118465.9467	-277351.612906	-3309225.38719
1500453727.9354606	-6121895.70439	-262038.986979	-3291909.2288
1500453728.9354606	-6146931.89933	-277820.820395	-3290871.27357
1500453729.9354606	-6117160.06942	-280700.838458	-3270079.22958
1500453730.9354606	-6145566.69205	-292355.395154	-3272347.37262
1500453731.9354606	-6136148.3232	-296152.501415	-3286277.27229
1500453732.9354606	-6126061.08065	-297014.309927	-3280468.32386
1500453733.9354606	-6163480.20396	-290391.337675	-3272567.90277
1500453734.9354606	-6145097.98061	-279786.631046	-3257286.73725
1500453735.9354606	-6151017.03968	-312125.755774	-3258730.27538
1500453736.9354606	-6150503.2563	-312496.870906	-3225853.98805
1500453737.9354606	-6169914.30204	-294671.640295	-3238578.4434
1500453738.9354606	-6166275.87041	-295888.440353	-3232646.95149
1500453739.9354606	-6148076.63001	-316886.157381	-3228851.70747
1500453740.9354606	-6171195.84677	-318911.088198	-3190274.42601
1500453741.9354606	-6169835.1835	-320430.320603	-3196266.32861
1500453742.9354606	-6177910.97529	-319440.633704	-3195583.84824
1500453743.9354606	-6189860.79431	-317055.706226	-3197492.73304
1500453744.9354606	-6178697.61635	-298737.884894	-3170533.32426
1500453745.9354606	-6179114.92182	-302867.347732	-3181063.87998
1500453746.9354606	-6193826.6157	-340825.785779	-3160688.66945
1500453747.9354606	-6192061.54167	-343753.182118	-3159834.02663
1500453748.9354606	-6189096.29585	-320536.398781	-3160921.0984
1500453749.9354606	-6201886.12801	-349457.193837	-3131105.62137
1500453750.9354606	-6199490.8848	-341318.297276	-3122322.56237
1500453751.9354606	-6189584.2639	-354877.062321	-3140275.32954
1500453752.9354606	-6176541.38123	-334028.494855	-3106858.20661
1500453753.9354606	-6177741.92724	-352639.127285	-3105158.50946
1500453754.9354606	-6211008.10018	-330931.800454	-3102446.2982
1500453755.9354606	-6195121.37912	-354097.299768	-3092194.98606
1500453756.9354606	-6203600.46702	-346540.95708	-3086230.61153
1500453757.9354606	-6183446.08124	-364843.946316	-3089178.42042
1500453758.9354606	-6192186.08056	-338279.722666	-3082354.31121
1500453759.9354606	-6216936.53148	-347433.858065	-3062967.11357
1500453760.9354606	-6199777.83318	-376638.16604	-3075617.36346
1500453761.9354606	-6203231.5407	-370284.750264	-3051082.82723
1500453762.9354606	-6207625.11017	-345331.372298	-3070322.73711
1500453763.9354606	-6227291.03468	-369840.928749	-3039230.78317
1500453764.9354606	-6202063.3806	-370486.658549	-3055377.43599
1500453765.9354606	-6227165.61358	-360024.751537	-3028019.35449
1500453766.9354606	-6240927.09138	-355186.226916	-3019444.57553
1500453767.9354606	-6227598.81663	-389578.678806	-3024314.32709
1500453768.9354606	-6212714.38853	-373744.885525	-3018117.65541
1500453769.9354606	-6242867.74112	-397838.011778	-3026493.09536
1500453770.9354606	-6214867.17198	-382680.658163	-3014649.77584
1500453771.9354606	-6248064.77389	-384034.104185	-2973263.4461
1500453772.9354606	-6244149.21404	-383722.842335	-2998249.02804
1500453773.9354606	-6249578.61545	-373068.983254	-2995663.06029
1500453774.9354606	-6256430.2821	-394304.485979	-2987489.0053
1500453775.9354606	-6247878.34431	-397890.998344	-2950292.30682
1500453776.9354606	-6229723.74221	-415114.711111	-2969548.66616
1500453777.9354606	-6258666.44229	-381686.490472	-2958309.44678
1500453778.9354606	-6238662.15481	-405773.789196	-2950072.33214
1500453779.9354606	-6255531.5431	-402457.767604	-2921501.40364
1500453780.9354606	-6234994.99743	-402717.413568	-2932760.7767
1500453781.9354606	-6239131.52362	-423632.64066	-2938043.88833
1500453782.9354606	-6251004.76322	-405496.919266	-2901717.04035
1500453783.9354606	-6250627.04551	-395374.550593	-2908875.58442
1500453784.9354606	-6278450.7581	-422493.705358	-2920109.47925
1500453785.9354606	-6272280.01488	-402756.729585	-2906992.86613
1500453786.9354606	-6246859.98774	-420121.322638	-2903824.34626
1500453787.9354606	-6260649.70599	-430387.899939	-2877145.28252
1500453788.9354606	-6263919.60844	-439891.719072	-2867185.67272
1500453789.9354606	-6252023.43821	-445331.013006	-2851484.48386
1500453790.9354606	-6262028.41632	-440515.411149	-2874865.53627
1500453791.9354606	-6276731.74865	-419823.892833	-2870368.93226
1500453792.9354606	-6261300.43231	-456341.883722	-2848141.83352
1500453793.9354606	-6277225.24448	-433942.779404	-2820046.9616
1500453794.9354606	-6296965.20236	-423030.89736	-2849442.41045
1500453795.9354606	-6291211.72878	-459393.418509	-2838099.16782
1500453796.9354606	-6284060.05697	-444357.434872	-2829720.96753
1500453797.9354606	-6299147.96972	-466018.258266	-2827109.22626
1500453798.9354606	-6285314.45623	-444234.503275	-2786637.00228
1500453799.9354606	-6285503.46832	-470256.074036	-2802962.73124
