time	x	y	z
1500453713.8160217	-5039727.36497	-4127370.94424	2480066.49458
1500453714.8160217	-5057870.30531	-4173093.90454	2517608.62051
1500453715.8160217	-5061413.79662	-4173627.0541	2499483.51988
1500453716.8160217	-5057702.14521	-4122291.74326	2554756.35298
1500453717.8160217	-4985687.81145	-4131007.53679	2513103.15946
1500453718.8160217	-5043701.00304	-4151057.51552	2507389.56604
1500453719.8160217	-5030824.76646	-4185486.45226	2554649.1687
1500453720.8160217	-4971490.07265	-4140112.94964	2533257.7791
1500453721.8160217	-5038686.31061	-4156790.33112	2532476.66479
1500453722.8160217	-5035855.67532	-4142567.07169	2592710.69355
1500453723.8160217	-4958793.35756	-4153899.5536	2565996.67946
1500453724.8160217	-4990244.04452	-4145707.28064	2596834.78283
1500453725.8160217	-5029482.8899	-4179935.82275	2550840.36465
1500453726.8160217	-4963412.66738	-4167028.0783	2611099.52275
1500453727.8160217	-4994462.24719	-4134550.91726	2611960.97037
1500453728.8160217	-5002133.89377	-4197877.49815	2577660.80807
1500453729.8160217	-4997139.97128	-4165871.06544	2624033.53839
1500453730.8160217	-4945156.78876	-4191792.13978	2597790.86238
1500453731.8160217	-4938287.90376	-4181751.0997	2645534.64912
1500453732.8160217	-4981277.68452	-4191379.2657	2632232.29762
1500453733.8160217	-4975092.03494	-4172905.55378	2641514.07828
1500453734.8160217	-4983251.86457	-4178897.99021	2625953.78648
1500453735.8160217	-4962647.27263	-4132584.11298	2635787.74632
1500453736.8160217	-4919019.19044	-4187657.15172	2619532.11973
1500453737.8160217	-4916164.04896	-4136609.0131	2658507.63969
1500453738.8160217	-4916330.69243	-4170830.01984	2631050.60008
1500453739.8160217	-4929156.56591	-4210864.34646	2678544.51042
1500453740.8160217	-4938910.8951	-4159889.43834	2676124.83226
1500453741.8160217	-4884611.33279	-4166489.73552	2703929.69681
1500453742.8160217	-4910403.62958	-4178793.13195	2719384.12572
1500453743.8160217	-4953738.01159	-4159879.44885	2698658.12452
1500453744.8160217	-4949803.79052	-4146874.37974	2663105.46045
1500453745.8160217	-4919068.84029	-4147505.96837	2676264.54105
1500453746.8160217	-4863681.36665	-4167291.30285	2726486.33539
1500453747.8160217	-4915076.07549	-4204355.73377	2693137.97978
1500453748.8160217	-4859905.74082	-4143691.19398	2695871.72211
1500453749.8160217	-4858025.6238	-4212514.15065	2706251.14588
1500453750.8160217	-4897675.91907	-4173102.8913	2702567.89121
1500453751.8160217	-4847490.21068	-4151527.59578	2776968.16335
1500453752.8160217	-4904575.02852	-4168183.50848	2730630.53061
1500453753.8160217	-4889575.38586	-4167175.15334	2715004.7291
1500453754.8160217	-4829616.01072	-4201308.61419	2768569.21896
1500453755.8160217	-4879483.08228	-4206494.95113	2797491.72517
1500453756.8160217	-4841099.5871	-4161020.09018	2753843.99495
1500453757.8160217	-4826703.8372	-4194950.86896	2788244.35765
1500453758.8160217	-4871190.03712	-4225175.79616	2817942.05572
1500453759.8160217	-4829403.19674	-4222289.07035	2764885.43351
1500453760.8160217	-4844989.43541	-4179718.38777	2835588.28249
1500453761.8160217	-4811906.91941	-4196277.81929	2789530.85178
1500453762.8160217	-4842065.57211	-4200568.80697	2800180.55139
1500453763.8160217	-4835586.4788	-4202615.35639	2825335.66046
1500453764.8160217	-4851580.23879	-4164140.70539	2809574.59657
1500453765.8160217	-4835770.50653	-4168370.33394	2828768.33838
1500453766.8160217	-4840136.43043	-4221355.74965	2855643.042
1500453767.8160217	-4850522.68716	-4234241.73003	2829358.89124
1500453768.8160217	-4810224.67089	-4196801.73797	2866482.62809
1500453769.8160217	-4784638.8582	-4236924.94746	2866832.35459
1500453770.8160217	-4770580.08213	-4188166.77963	2882163.61
1500453771.8160217	-4775997.61093	-4221175.18919	2833328.49865
1500453772.8160217	-4791921.56998	-4177833.85849	2843075.56131
1500453773.8160217	-4815808.51061	-4216016.21123	2880088.2645
1500453774.8160217	-4806220.7485	-4232045.3974	2874673.55722
1500453775.8160217	-4815480.02504	-4173043.60268	2921311.09508
1500453776.8160217	-4762688.78409	-4207122.56209	2898468.36818
1500453777.8160217	-4777683.80647	-4236921.70018	2936189.89803
