time	x	y	z
1500453699.5290651	2689042.03731	5098438.63392	-5704722.48243
1500453700.5290651	2677522.59339	5114388.88897	-5677747.80556
1500453701.5290651	2617074.62367	5110656.93949	-5714899.69369
1500453702.5290651	2609847.62011	5143436.54124	-5664724.88778
1500453703.5290651	2600448.32107	5137499.37519	-5700464.32776
1500453704.5290651	2657022.30074	5113169.28471	-5694501.77851
1500453705.5290651	2627875.64422	5151084.64925	-5678010.34092
1500453706.5290651	2595558.5352	5168925.60561	-5691814.80554
1500453707.5290651	2656262.41345	5176578.38854	-5664856.04434
1500453708.5290651	2596709.47492	5170509.29025	-5648087.81801
1500453709.5290651	2607616.06781	5176959.97428	-5706068.33786
1500453710.5290651	2626491.0788	5137256.38239	-5703680.9855
1500453711.5290651	2566623.44795	5204918.40208	-5676232.4673
1500453712.5290651	2581101.28442	5154973.18	-5641585.5057
1500453713.5290651	2587292.67936	5200129.25358	-5639481.72936
1500453714.5290651	2603969.30417	5183233.40523	-5639743.58598
1500453715.5290651	2612698.20036	5157682.12434	-5638463.86646
1500453716.5290651	2556050.56441	5222214.85301	-5691746.7905
1500453717.5290651	2618276.56293	5192174.48366	-5682580.06992
1500453718.5290651	2587365.51789	5179998.1122	-5673195.59503
1500453719.5290651	2557681.02876	5176389.31986	-5660620.286
1500453720.5290651	2549892.37041	5170878.43668	-5649448.94976
1500453721.5290651	2573881.62972	5199805.35189	-5679552.98701
1500453722.5290651	2589828.54839	5239455.65144	-5610364.03931
1500453723.5290651	2578457.85459	5183031.13677	-5600971.34271
1500453724.5290651	2522889.26149	5232840.19786	-5637025.02852
1500453725.5290651	2532797.09622	5254190.6801	-5620893.43689
1500453726.5290651	2529268.3924	5249417.67806	-5648923.21657
1500453727.5290651	2507484.90608	5278667.33238	-5621033.01683
1500453728.5290651	2502341.20826	5218408.37295	-5619062.63785
1500453729.5290651	2515041.5657	5221524.92564	-5593849.08536
1500453730.5290651	2566372.15141	5256882.78396	-5613139.45178
1500453731.5290651	2510092.71893	5248664.79068	-5633681.97173
1500453732.5290651	2532869.96712	5289540.7133	-5639920.50827
1500453733.5290651	2518347.50998	5291823.36547	-5638394.28801
1500453734.5290651	2513943.73666	5240793.19048	-5602799.08398
1500453735.5290651	2549022.60127	5269540.2033	-5600409.53325
1500453736.5290651	2472904.4823	5284511.71257	-5621385.97725
1500453737.5290651	2507125.35808	5250218.26774	-5581908.47071
1500453738.5290651	2502412.16263	5271141.19879	-5601188.16902
1500453739.5290651	2536180.12748	5322855.85747	-5579902.937
1500453740.5290651	2489953.24451	5332555.53352	-5554719.04957
1500453741.5290651	2518811.40401	5281333.90394	-5586654.60951
1500453742.5290651	2515613.60281	5338526.70485	-5557758.87267
1500453743.5290651	2496507.9582	5333255.55484	-5618336.76459
1500453744.5290651	2514070.19493	5287292.88831	-5611828.18933
1500453745.5290651	2447719.41303	5302230.9972	-5578207.44631
1500453746.5290651	2462819.80411	5343157.85899	-5596607.98712
1500453747.5290651	2488717.2743	5327511.40561	-5553696.92201
1500453748.5290651	2463867.66866	5331610.56749	-5591361.1077
1500453749.5290651	2445102.19217	5370122.37449	-5586357.85443
1500453750.5290651	2490000.26102	5319272.06887	-5549146.27575
1500453751.5290651	2414439.54584	5312369.37679	-5556431.24169
1500453752.5290651	2432661.18579	5381284.77013	-5556307.63608
1500453753.5290651	2441021.17453	5351390.50769	-5575063.16096
1500453754.5290651	2455556.05376	5391080.00388	-5550464.0945
1500453755.5290651	2473167.18757	5400364.08963	-5528470.74822
1500453756.5290651	2396589.20235	5384556.30272	-5554072.70266
1500453757.5290651	2403472.29344	5386577.38006	-5530863.3419
1500453758.5290651	2409649.01549	5419808.17571	-5576835.04737
1500453759.5290651	2418615.90596	5407019.64697	-5502889.56981
1500453760.5290651	2424845.8997	5374412.25751	-5570804.77754
1500453761.5290651	2409345.72386	5363320.83516	-5565324.26071
1500453762.5290651	2437492.47382	5362544.61878	-5496149.63705
1500453763.5290651	2443910.70561	5370360.46557	-5564529.1358
1500453764.5290651	2375153.89476	5409538.1186	-5505069.31987
1500453765.5290651	2390555.85359	5410843.32202	-5506571.24676
1500453766.5290651	2405797.36235	5402249.09435	-5510822.58865
1500453767.5290651	2409159.68785	5405609.75735	-5536584.9186
1500453768.5290651	2414224.03598	5460130.64152	-5498998.02673
1500453769.5290651	2373340.02219	5462930.93932	-5474544.00262
1500453770.5290651	2367541.74906	5442851.32724	-5531539.79511
1500453771.5290651	2368234.71784	5432277.5365	-5531596.09994
1500453772.5290651	2349445.10072	5436367.54676	-5507099.38939
1500453773.5290651	2387414.62165	5412825.64269	-5525168.28659
1500453774.5290651	2336981.25012	5440473.42446	-5497878.07555
1500453775.5290651	2329648.73893	5463712.28683	-5481513.25964
1500453776.5290651	2339568.2264	5500052.3588	-5461295.93228
1500453777.5290651	2326596.97294	5508247.26811	-5475029.27422
1500453778.5290651	2375968.89819	5447790.90873	-5451783.42598
1500453779.5290651	2342318.47908	5455676.5584	-5458919.47376
1500453780.5290651	2344741.05755	5470654.47484	-5471043.54331
1500453781.5290651	2337673.59023	5490086.31917	-5511133.71336
1500453782.5290651	2337191.24746	5459835.77948	-5434620.34339
1500453783.5290651	2369679.91427	5479933.08101	-5492127.42518
1500453784.5290651	2343576.07711	5479865.29638	-5445205.10495
1500453785.5290651	2324934.23478	5544011.59778	-5484819.40867
1500453786.5290651	2338180.58196	5507269.18728	-5426410.11777
1500453787.5290651	2301816.18634	5498643.63593	-5454279.02765
1500453788.5290651	2304737.88853	5514741.28919	-5421215.37001
1500453789.5290651	2305908.5163	5540300.79501	-5451171.35466
1500453790.5290651	2320874.32374	5511645.38852	-5444741.80941
1500453791.5290651	2308580.25125	5564962.10759	-5412089.00672
1500453792.5290651	2311586.1339	5550344.64234	-5446032.30848
1500453793.5290651	2316533.5367	5576073.86863	-5416180.69049
1500453794.5290651	2319168.27029	5514651.84313	-5464224.3491
1500453795.5290651	2274239.16246	5525502.42897	-5407951.38769
1500453796.5290651	2280186.42162	5518268.99722	-5412311.07166
1500453797.5290651	2269089.86786	5522900.06444	-5421834.79608
1500453798.5290651	2269700.45242	5597180.92588	-5434767.33362
1500453799.5290651	2242968.74699	5541507.08311	-5416739.6469
1500453800.5290651	2284040.95522	5530451.0447	-5436794.33958
1500453801.5290651	2263375.0646	5543596.99068	-5390019.18782
1500453802.5290651	2257065.24933	5554290.0068	-5414571.36126
1500453803.5290651	2273328.43546	5588203.67989	-5380959.67115
1500453804.5290651	2261642.95067	5614102.84297	-5406465.50411
1500453805.5290651	2210751.49029	5611817.42084	-5421576.26631
1500453806.5290651	2231476.56081	5610565.69261	-5411219.22646
1500453807.5290651	2275425.37079	5616870.1659	-5428344.59892
1500453808.5290651	2251485.02951	5614331.48101	-5392474.02006
1500453809.5290651	2245700.25902	5618148.64436	-5360351.31393
1500453810.5290651	2229020.61884	5602603.59011	-5401770.22001
1500453811.5290651	2251822.65226	5583211.20544	-5372934.4009
1500453812.5290651	2223240.67359	5616525.21884	-5366257.66098
1500453813.5290651	2228942.78246	5627116.78316	-5396341.99822
1500453814.5290651	2229428.64674	5609467.22056	-5385784.60707
1500453815.5290651	2210758.96708	5634095.17216	-5363457.34757
1500453816.5290651	2225057.43007	5636357.03054	-5368292.24519
1500453817.5290651	2211560.14256	5644879.36811	-5366236.0617
1500453818.5290651	2193327.94592	5627451.59379	-5361379.27082
1500453819.5290651	2189205.28484	5617602.02296	-5331664.20177
1500453820.5290651	2223088.47591	5638396.01706	-5374596.31362
1500453821.5290651	2171550.59966	5688447.18517	-5367114.9116
