time	x	y	z
1500453708.3484473	-4640346.97322	-3937691.83782	-2131176.79565
1500453709.3484473	-4578102.91555	-3843127.48554	-2045751.60729
1500453710.3484473	-4525169.62675	-3828801.69656	-2031068.19303
1500453711.3484473	-4588884.13331	-3957984.84044	-2024189.45683
1500453712.3484473	-4546161.84984	-3849707.0791	-1991648.08985
1500453713.3484473	-4552017.07452	-3876021.17019	-2100809.24371
1500453714.3484473	-4586103.08077	-3834386.53685	-2029085.98105
1500453715.3484473	-4610308.09945	-3974825.88402	-2068720.58585
1500453716.3484473	-4540183.35161	-3849909.6546	-2113746.48296
1500453717.3484473	-4601602.6458	-3981651.98051	-2031989.74696
1500453718.3484473	-4464655.32014	-3879572.21544	-2073710.1898
1500453719.3484473	-4586148.93194	-3984304.06692	-2133279.32011
1500453720.3484473	-4590296.70413	-3992464.80578	-2132936.62467
1500453721.3484473	-4564784.79522	-4008579.97064	-2162798.52899
1500453722.3484473	-4520260.13136	-3942800.63308	-2166999.68625
1500453723.3484473	-4455855.63915	-3905815.01138	-2153177.82934
1500453724.3484473	-4501465.40596	-3936296.68676	-2029480.98274
1500453725.3484473	-4526087.29244	-3919023.11044	-2152802.92604
1500453726.3484473	-4471694.37663	-3947753.45944	-2141222.46549
1500453727.3484473	-4460602.37402	-4043284.9658	-2104509.41303
1500453728.3484473	-4475070.42672	-4017361.90491	-2128813.43912
1500453729.3484473	-4405291.23938	-4055246.0813	-2132239.19448
1500453730.3484473	-4417647.94213	-3966107.01475	-2048974.6023
1500453731.3484473	-4394629.98178	-3918644.91075	-2126563.20979
1500453732.3484473	-4388108.35125	-3967500.84713	-2187441.00181
1500453733.3484473	-4378732.72247	-4058031.6376	-2158937.16509
1500453734.3484473	-4411396.83136	-4071996.91294	-2100749.05033
1500453735.3484473	-4425534.44694	-3978900.94264	-2068481.65992
1500453736.3484473	-4439855.40318	-3967808.28079	-2062635.03012
1500453737.3484473	-4353145.04196	-4090261.99927	-2185962.77166
1500453738.3484473	-4410394.60384	-4015317.27304	-2199520.81326
1500453739.3484473	-4456088.65347	-4075648.94811	-2101786.73191
1500453740.3484473	-4366809.2763	-4103508.84463	-2221209.39785
1500453741.3484473	-4488247.43292	-4081340.4536	-2149140.02491
1500453742.3484473	-4390328.2785	-4069713.04584	-2104874.17226
1500453743.3484473	-4415468.91811	-4036926.60306	-2142339.63467
1500453744.3484473	-4346178.94028	-4097408.60109	-2137158.94147
1500453745.3484473	-4409791.99439	-4038126.96648	-2211283.32586
1500453746.3484473	-4409833.49846	-4040315.7917	-2154969.85839
1500453747.3484473	-4452443.97247	-4104549.8314	-2146922.77802
1500453748.3484473	-4430248.68927	-4034317.3137	-2233644.58288
1500453749.3484473	-4376415.24114	-4073275.67359	-2222648.43363
1500453750.3484473	-4375520.51675	-4165264.55254	-2249223.15234
1500453751.3484473	-4356990.15615	-4063486.91081	-2166952.60629
1500453752.3484473	-4348193.79016	-4146780.61483	-2157422.07561
1500453753.3484473	-4375532.06655	-4186885.58898	-2218412.94652
1500453754.3484473	-4415993.93	-4070647.09501	-2220594.89973
1500453755.3484473	-4330531.6404	-4138157.84662	-2235930.35061
1500453756.3484473	-4257939.30089	-4065149.09195	-2116929.27368
1500453757.3484473	-4345917.47686	-4192618.19997	-2237320.31215
1500453758.3484473	-4272562.59916	-4073293.05284	-2148615.3886
1500453759.3484473	-4303537.44778	-4099965.18433	-2149231.3079
1500453760.3484473	-4305829.60931	-4158828.43091	-2150823.66785
1500453761.3484473	-4262373.50061	-4168142.96942	-2151026.43328
1500453762.3484473	-4279462.93113	-4111524.405	-2261077.22921
1500453763.3484473	-4228376.89742	-4179415.17513	-2267375.43059
1500453764.3484473	-4258348.23605	-4214155.20268	-2223032.94879
1500453765.3484473	-4315338.14447	-4145921.50862	-2221091.57903
1500453766.3484473	-4331565.02426	-4213665.98309	-2251228.71691
1500453767.3484473	-4301897.35298	-4258693.08437	-2217619.95312
1500453768.3484473	-4261332.62355	-4158739.77548	-2258440.55671
1500453769.3484473	-4201612.21563	-4122426.01041	-2249028.27817
1500453770.3484473	-4321103.18802	-4237912.41665	-2265893.05073
1500453771.3484473	-4187111.24545	-4283783.28869	-2284242.21001
1500453772.3484473	-4265678.10355	-4186721.47962	-2218712.53953
1500453773.3484473	-4217036.72891	-4216275.7779	-2241599.626
1500453774.3484473	-4189024.65582	-4161235.55904	-2307378.79485
1500453775.3484473	-4242651.33139	-4148405.87103	-2211629.26245
1500453776.3484473	-4184935.92752	-4211980.67357	-2185438.92561
1500453777.3484473	-4228961.06357	-4201774.55036	-2263926.55454
1500453778.3484473	-4143051.82274	-4236294.42233	-2222715.71851
1500453779.3484473	-4130412.48417	-4210317.5161	-2331718.99753
1500453780.3484473	-4256345.4612	-4297678.64283	-2311485.89862
1500453781.3484473	-4161322.97369	-4203221.76698	-2248827.04828
1500453782.3484473	-4138654.08371	-4278014.18667	-2262361.53219
1500453783.3484473	-4239966.48563	-4319224.67987	-2233818.89273
1500453784.3484473	-4149672.23183	-4332391.44747	-2328953.07677
1500453785.3484473	-4240004.25318	-4226293.85928	-2213778.59313
1500453786.3484473	-4157547.38016	-4311981.14847	-2233211.02871
1500453787.3484473	-4130745.33706	-4232084.96733	-2329481.17909
1500453788.3484473	-4082515.77373	-4293563.08888	-2248678.08695
1500453789.3484473	-4199079.85174	-4313406.79461	-2247850.03427
1500453790.3484473	-4064360.47267	-4280294.16294	-2229941.67871
1500453791.3484473	-4170905.32202	-4352907.13142	-2239788.43641
