time	x	y	z
1500453752.2669742	247153.018796	3822500.79149	-5602979.48194
1500453753.2669742	250262.316663	3810510.95412	-5597429.89343
1500453754.2669742	245428.832304	3807963.73021	-5587629.63664
1500453755.2669742	252354.675763	3795080.00109	-5583114.38165
1500453756.2669742	262163.27067	3786652.87269	-5594747.29258
1500453757.2669742	268534.799337	3795650.54808	-5588314.01091
1500453758.2669742	268940.782621	3778809.21257	-5590220.53649
1500453759.2669742	277417.342623	3770312.18832	-5573509.10442
1500453760.2669742	282136.912931	3777462.16158	-5577956.98831
1500453761.2669742	289306.095496	3763567.4038	-5587386.07358
1500453762.2669742	288869.228925	3758985.5158	-5569615.46238
1500453763.2669742	291320.968097	3743046.2554	-5583120.25224
1500453764.2669742	297178.601606	3750692.28011	-5564227.73182
1500453765.2669742	308539.86774	3738622.59968	-5577071.60923
1500453766.2669742	315214.456147	3737238.53338	-5576235.6998
1500453767.2669742	302607.383411	3736772.92794	-5575689.71971
1500453768.2669742	307601.573654	3732037.92412	-5570057.88698
1500453769.2669742	317211.349848	3719405.03115	-5556543.02038
1500453770.2669742	317672.838168	3715597.94622	-5554355.28861
1500453771.2669742	326238.132105	3706777.86856	-5559512.89055
1500453772.2669742	326867.432339	3697373.35777	-5550493.62074
1500453773.2669742	343444.60045	3696670.63488	-5559444.08715
1500453774.2669742	346175.345406	3680388.85718	-5558867.69395
1500453775.2669742	354723.030481	3675671.09517	-5545529.57637
1500453776.2669742	360087.347023	3677455.04499	-5546178.85466
1500453777.2669742	347439.5876	3674612.79734	-5551897.17412
1500453778.2669742	355298.400176	3661494.99846	-5550689.82753
1500453779.2669742	357763.83629	3650849.06775	-5545659.11234
1500453780.2669742	363472.369895	3640904.1084	-5531322.80643
1500453781.2669742	383389.870955	3642501.26584	-5532192.45651
1500453782.2669742	380904.829812	3638625.5665	-5533626.26089
1500453783.2669742	390446.717539	3640881.11098	-5528143.97468
1500453784.2669742	396291.452188	3623377.94425	-5534523.15227
1500453785.2669742	399870.622034	3625399.34944	-5538275.4806
1500453786.2669742	397595.174159	3611506.41297	-5534075.91382
1500453787.2669742	408470.220986	3603569.5738	-5534377.83982
1500453788.2669742	400544.32961	3611307.03308	-5516093.40463
1500453789.2669742	420559.654457	3603508.92852	-5517847.98171
1500453790.2669742	424483.227101	3587946.91087	-5527761.62981
1500453791.2669742	427433.92841	3577530.62125	-5507822.21707
1500453792.2669742	431422.704124	3581014.43604	-5520725.12454
1500453793.2669742	426062.743931	3572096.79393	-5518187.65915
1500453794.2669742	432014.101574	3561684.26437	-5510132.57207
1500453795.2669742	440289.914661	3566863.82555	-5516809.26836
1500453796.2669742	448645.212051	3562475.96061	-5511295.6546
1500453797.2669742	454993.339554	3538714.19882	-5512843.65495
1500453798.2669742	444007.850651	3541142.99838	-5495636.9506
1500453799.2669742	448020.638148	3536629.92866	-5497791.67171
1500453800.2669742	458045.354543	3534975.42443	-5495503.40894
1500453801.2669742	466091.73535	3522234.41716	-5504292.4177
1500453802.2669742	465864.16235	3521299.27761	-5490690.47381
1500453803.2669742	468848.419076	3512203.74233	-5483988.51817
1500453804.2669742	471613.629352	3500785.12888	-5486083.95405
1500453805.2669742	477888.616007	3497475.89043	-5490508.13506
1500453806.2669742	484938.127072	3492567.35961	-5487640.3021
1500453807.2669742	484124.870275	3492244.86873	-5479829.65932
1500453808.2669742	497047.110052	3479815.74613	-5474473.28067
1500453809.2669742	495863.285135	3470976.96553	-5474965.59265
1500453810.2669742	502069.764838	3467850.82886	-5475697.75118
1500453811.2669742	506869.411702	3452590.21202	-5463690.1067
1500453812.2669742	519595.710281	3452478.21556	-5476759.59319
1500453813.2669742	519631.128018	3446108.93238	-5466649.06409
1500453814.2669742	522699.289597	3433642.91549	-5466878.47562
1500453815.2669742	519592.106686	3441979.66102	-5462892.34611
1500453816.2669742	540419.743393	3422452.20571	-5465500.54694
1500453817.2669742	534096.376547	3428187.70042	-5463723.54413
1500453818.2669742	548496.425851	3415096.18767	-5448776.42147
1500453819.2669742	537450.157014	3418416.85816	-5445772.9434
1500453820.2669742	549646.38113	3402413.97264	-5461052.59801
1500453821.2669742	549819.812622	3389616.5133	-5448512.73769
1500453822.2669742	556726.440615	3399921.0862	-5448220.38165
1500453823.2669742	564872.493104	3395995.00441	-5441205.54559
1500453824.2669742	564898.106589	3370742.09727	-5436684.17942
1500453825.2669742	572495.675155	3374110.92719	-5447513.30217
1500453826.2669742	578865.415358	3371127.85664	-5438587.36341
1500453827.2669742	583398.776636	3365265.81662	-5425145.0846
1500453828.2669742	576650.015344	3354166.81407	-5429796.09542
1500453829.2669742	600738.305144	3343842.07474	-5426038.47361
1500453830.2669742	597761.211988	3346106.64929	-5433017.76214
1500453831.2669742	607512.963629	3326550.93641	-5414859.83261
1500453832.2669742	608754.76662	3327701.11922	-5419704.44841
1500453833.2669742	617062.059204	3325541.78293	-5410849.18866
1500453834.2669742	603558.329956	3310838.17439	-5419421.70407
1500453835.2669742	610851.219251	3318973.48491	-5411885.759
1500453836.2669742	618802.77849	3299508.43263	-5412964.89098
1500453837.2669742	634483.953523	3292687.41894	-5418166.91233
1500453838.2669742	631379.172222	3284561.94938	-5399808.84702
1500453839.2669742	642835.632557	3282998.58996	-5408481.67969
1500453840.2669742	630826.177616	3281368.12824	-5411526.28981
1500453841.2669742	642272.90749	3276588.0976	-5398812.12099
1500453842.2669742	654490.079717	3272410.86531	-5400886.55365
1500453843.2669742	654776.192775	3261064.78144	-5397043.17845
1500453844.2669742	657486.926773	3259815.24658	-5390071.39824
1500453845.2669742	652497.553703	3252001.75828	-5393059.85002
1500453846.2669742	661055.344438	3239848.82176	-5381954.39106
1500453847.2669742	678018.313732	3230493.2044	-5375325.39441
1500453848.2669742	668432.472182	3230695.07761	-5386147.69363
1500453849.2669742	675635.391881	3216785.65111	-5384068.52735
1500453850.2669742	685593.211952	3209899.30281	-5369763.35394
1500453851.2669742	694038.591515	3215189.18684	-5382158.32256
1500453852.2669742	687611.312056	3200101.72075	-5369847.34312
1500453853.2669742	688657.051275	3195912.28692	-5373260.73193
1500453854.2669742	701062.264114	3198136.06239	-5371043.88688
1500453855.2669742	710618.417503	3178777.14804	-5368521.04956
1500453856.2669742	703938.457821	3167842.79744	-5355102.98195
1500453857.2669742	708230.275339	3161927.15813	-5362359.32142
1500453858.2669742	722284.119096	3157471.10625	-5348795.88151
1500453859.2669742	718331.019398	3154806.99199	-5361754.86684
1500453860.2669742	738871.209954	3160160.04445	-5354056.04682
1500453861.2669742	734106.489092	3143621.3587	-5349567.06025
1500453862.2669742	734978.190107	3143373.85393	-5350207.92791
1500453863.2669742	747414.65573	3129046.0259	-5350435.04844
1500453864.2669742	737392.278848	3125156.21486	-5341138.49384
1500453865.2669742	754561.570139	3112961.89292	-5326486.33533
1500453866.2669742	754915.606414	3106535.35788	-5338960.00849
1500453867.2669742	751608.096086	3101363.7997	-5320588.22018
1500453868.2669742	771420.907693	3090514.67783	-5332730.63273
1500453869.2669742	760737.421775	3091331.23323	-5325081.7419
1500453870.2669742	770264.73974	3095881.22714	-5318054.40279
1500453871.2669742	782061.860475	3072397.69464	-5322673.43157
1500453872.2669742	778067.651709	3068169.30712	-5314989.47132
1500453873.2669742	778183.046635	3065238.13675	-5310593.0021
1500453874.2669742	790612.04787	3067917.66291	-5303682.07615
1500453875.2669742	785912.672614	3046938.60731	-5312657.1041
1500453876.2669742	803252.188223	3055184.22513	-5302664.06967
1500453877.2669742	796743.996133	3046361.19927	-5298352.12252
1500453878.2669742	799228.549268	3029178.56566	-5305332.42697
1500453879.2669742	819668.052962	3020046.87343	-5297284.22179
1500453880.2669742	826424.58727	3013256.40001	-5300417.66061
1500453881.2669742	829252.564727	3015885.27252	-5294765.25815
1500453882.2669742	830287.442479	3017111.81644	-5279175.54975
1500453883.2669742	838961.523296	2991572.35757	-5279275.73672
1500453884.2669742	836028.616983	2994780.71729	-5277436.24909
1500453885.2669742	838635.597878	2988622.8205	-5275113.10267
1500453886.2669742	834591.826609	2977056.19676	-5273439.55493
1500453887.2669742	854423.993597	2978974.76649	-5266920.36233
1500453888.2669742	846356.771705	2977138.59822	-5263591.08493
1500453889.2669742	856937.558739	2967043.68671	-5271925.01414
1500453890.2669742	862737.338476	2951122.87057	-5255357.46757
1500453891.2669742	873661.858476	2938918.03784	-5263113.66353
1500453892.2669742	873740.701465	2937725.14824	-5258409.45957
1500453893.2669742	867854.475706	2942339.82895	-5260912.8056
1500453894.2669742	883602.726256	2932548.89996	-5255495.6072
1500453895.2669742	888496.245029	2928453.38457	-5243046.98627
1500453896.2669742	887672.5216	2910998.84742	-5244422.30098
1500453897.2669742	892721.241505	2902441.61206	-5245307.75902
1500453898.2669742	900270.764716	2902324.84768	-5239107.10916
1500453899.2669742	905071.015525	2890188.15292	-5241360.98782
1500453900.2669742	912265.476607	2885116.15785	-5230544.79096
1500453901.2669742	911806.792635	2872228.88193	-5232254.0359
1500453902.2669742	918914.213008	2879422.25403	-5220528.98325
1500453903.2669742	917004.964722	2867649.23521	-5229202.98437
1500453904.2669742	926331.932928	2852673.74474	-5223991.83614
1500453905.2669742	925402.745953	2848759.11113	-5217544.45457
1500453906.2669742	928295.053643	2845167.05994	-5218570.90108
1500453907.2669742	943113.662553	2849251.5202	-5219651.47125
1500453908.2669742	933500.238058	2836502.26637	-5200029.77321
1500453909.2669742	950148.481184	2837382.31759	-5203463.20677
1500453910.2669742	944208.204182	2821796.83538	-5210751.35355
1500453911.2669742	956117.168506	2806419.91735	-5203907.54433
1500453912.2669742	957596.16849	2809030.63325	-5191322.8123
1500453913.2669742	963334.68724	2804986.2227	-5182287.18002
1500453914.2669742	966536.980901	2793306.82184	-5188097.80235
1500453915.2669742	969699.947152	2797043.69745	-5192243.02059
1500453916.2669742	966928.192314	2783066.11307	-5181303.59723
1500453917.2669742	976455.762851	2769580.57499	-5169831.54477
1500453918.2669742	989939.003694	2764908.39335	-5184733.96949
1500453919.2669742	991370.318946	2751738.18346	-5169712.83488
1500453920.2669742	986744.493249	2759648.93794	-5175827.63463
1500453921.2669742	1001208.40701	2752579.67933	-5175117.44398
1500453922.2669742	992052.913465	2749312.81052	-5169600.51172
1500453923.2669742	1000764.27786	2743739.04981	-5153778.89142
1500453924.2669742	1001997.55211	2725056.28495	-5157373.64502
1500453925.2669742	1016161.95753	2729894.00325	-5149675.07518
1500453926.2669742	1020353.24876	2704773.16451	-5155785.15299
1500453927.2669742	1021398.89074	2713215.97884	-5140474.03241
1500453928.2669742	1025589.7637	2693857.24244	-5141454.70007
1500453929.2669742	1027020.29972	2688781.89232	-5146042.84466
1500453930.2669742	1029404.59585	2679741.76925	-5142544.13192
1500453931.2669742	1045422.68872	2682698.95498	-5126744.10677
1500453932.2669742	1048044.01923	2670235.93726	-5131089.80421
1500453933.2669742	1044208.00649	2668765.04425	-5120569.239
1500453934.2669742	1059985.30627	2666807.46707	-5126215.10495
1500453935.2669742	1055177.24004	2657402.13444	-5113902.27006
1500453936.2669742	1066256.86295	2640016.44388	-5119072.09851
