time	x	y	z
1500453710.691809	6732246.56919	2641411.38347	1647592.72165
1500453711.691809	6734612.5401	2603476.36945	1647570.65953
1500453712.691809	6742182.47596	2616614.46518	1639087.96737
1500453713.691809	6710851.24788	2602232.14799	1636121.32966
1500453714.691809	6748761.18945	2629261.726	1613411.12765
1500453715.691809	6720316.05441	2604692.38255	1621047.41418
1500453716.691809	6739794.29874	2615339.50131	1605175.56761
1500453717.691809	6744566.36386	2620001.2	1589816.69034
1500453718.691809	6761485.49544	2582713.09121	1607273.57819
1500453719.691809	6750898.5364	2596408.07643	1605436.75343
1500453720.691809	6745514.72869	2612820.41226	1597274.26118
1500453721.691809	6769485.48151	2602148.37253	1595268.56907
1500453722.691809	6764318.24838	2591923.68101	1584241.54135
1500453723.691809	6758090.71254	2581685.05606	1577200.42879
1500453724.691809	6776042.95582	2596773.62671	1564066.44611
1500453725.691809	6785635.38756	2563741.52044	1537690.98042
1500453726.691809	6772867.88012	2571809.34423	1556983.1059
1500453727.691809	6759670.3849	2553679.70343	1536625.66571
1500453728.691809	6763434.025	2578904.09705	1556158.82488
1500453729.691809	6777646.16927	2576921.36263	1537548.16379
1500453730.691809	6770705.33187	2575699.09432	1521882.95467
1500453731.691809	6768815.98122	2568169.07875	1500955.68198
1500453732.691809	6772525.81001	2545447.87429	1521780.86485
1500453733.691809	6786897.15938	2566845.98024	1500409.06521
1500453734.691809	6798863.50855	2559647.30489	1500434.25611
1500453735.691809	6795405.30293	2566606.29697	1499485.53489
1500453736.691809	6817087.73187	2552290.15257	1505431.34432
1500453737.691809	6804816.6264	2531802.50302	1491768.40329
1500453738.691809	6827017.29553	2525609.12048	1473579.80791
1500453739.691809	6806370.56766	2532641.94027	1461065.77117
1500453740.691809	6806628.65796	2535494.66773	1477868.64344
1500453741.691809	6839487.90592	2532163.4153	1445896.21284
1500453742.691809	6843206.36216	2528318.75821	1459875.42331
1500453743.691809	6826991.66272	2510560.94548	1450879.25934
1500453744.691809	6835673.62774	2512476.43384	1432553.30306
1500453745.691809	6817801.07604	2520666.36852	1449132.39163
1500453746.691809	6839712.82684	2519288.55688	1438421.49348
1500453747.691809	6831832.49494	2505049.62602	1441226.93622
1500453748.691809	6855332.61891	2506448.07547	1440504.87925
1500453749.691809	6835357.85788	2485311.92665	1430393.84768
1500453750.691809	6839274.89569	2489007.54836	1415998.89337
1500453751.691809	6846014.45622	2494449.329	1409642.70119
1500453752.691809	6848389.35195	2504918.56529	1397986.21817
1500453753.691809	6866128.50285	2490888.04924	1413674.17706
1500453754.691809	6845571.28636	2481154.35399	1380705.39223
1500453755.691809	6876429.03971	2472594.59842	1390450.50308
1500453756.691809	6873386.97763	2465217.75359	1396119.45261
1500453757.691809	6872514.76021	2493495.73249	1381704.71731
1500453758.691809	6882203.8264	2487821.2733	1391909.71218
1500453759.691809	6884141.44701	2476466.61645	1384418.08318
1500453760.691809	6892915.1507	2452476.65545	1378901.8987
1500453761.691809	6866076.59262	2463314.49752	1342509.03621
1500453762.691809	6888578.25745	2449945.43311	1360449.80624
1500453763.691809	6882188.21054	2478923.29232	1326759.29685
1500453764.691809	6881792.17978	2468893.14988	1331862.51042
1500453765.691809	6902675.3714	2435050.51404	1329719.74044
1500453766.691809	6913639.5875	2442217.73289	1320995.2223
1500453767.691809	6913634.8368	2462988.13782	1341280.72179
1500453768.691809	6914576.88749	2438414.83217	1309678.80196
1500453769.691809	6900674.55206	2458115.84629	1323128.58994
1500453770.691809	6901551.8918	2421748.6273	1317114.6606
1500453771.691809	6919164.81458	2442557.84485	1291256.69138
1500453772.691809	6925704.63178	2445275.14041	1291272.40869
1500453773.691809	6907703.52121	2435320.06018	1277112.79358
1500453774.691809	6934177.35475	2410225.0194	1279593.17345
1500453775.691809	6927457.49582	2410380.22904	1267103.65418
1500453776.691809	6929348.09017	2420629.60788	1280203.83246
1500453777.691809	6938444.98922	2408298.65948	1257910.83106
1500453778.691809	6937172.44198	2411803.04499	1241836.28304
1500453779.691809	6944286.82772	2408912.98118	1255249.67597
1500453780.691809	6929419.67836	2393998.3618	1231826.30973
1500453781.691809	6933274.53443	2401699.66861	1258114.53244
