time	x	y	z
1500453703.7246022	6218446.43438	7457610.09402	-3100622.29365
1500453704.7246022	6301644.54119	7551098.0912	-3104396.68788
1500453705.7246022	6315153.89323	7533562.58861	-3088620.28252
1500453706.7246022	6252749.13596	7480961.2456	-3101024.30699
1500453707.7246022	6324888.50831	7495663.45295	-3208573.78069
1500453708.7246022	6276482.67409	7531349.28941	-3083067.6128
1500453709.7246022	6240514.61344	7523179.01947	-3125056.84127
1500453710.7246022	6262939.3461	7422075.89952	-3181561.32502
1500453711.7246022	6327614.57003	7544907.31282	-3202462.59656
1500453712.7246022	6251368.50963	7449257.95034	-3104384.77999
1500453713.7246022	6344124.76777	7518018.70835	-3080240.10407
1500453714.7246022	6273302.48423	7447218.71943	-3150575.86054
1500453715.7246022	6342595.13351	7419970.10547	-3152714.13734
1500453716.7246022	6341917.27398	7423109.15973	-3102331.46627
1500453717.7246022	6247700.74794	7467773.39629	-3207456.67838
1500453718.7246022	6237049.36835	7427639.83174	-3173335.51172
1500453719.7246022	6289152.27255	7497114.32872	-3117681.63003
1500453720.7246022	6326094.46763	7381824.92532	-3214934.84307
1500453721.7246022	6273312.55886	7428573.20358	-3190110.68735
1500453722.7246022	6283863.24093	7453915.41591	-3260198.94371
1500453723.7246022	6226181.03894	7369489.34202	-3209526.88317
1500453724.7246022	6277573.19118	7384831.72778	-3160267.02614
1500453725.7246022	6220002.56562	7514985.38921	-3185620.81856
1500453726.7246022	6235751.87011	7454405.98829	-3218492.3962
1500453727.7246022	6320362.49399	7420895.85554	-3142461.4574
1500453728.7246022	6281486.04865	7403925.60813	-3149675.32324
1500453729.7246022	6275165.1155	7393623.38189	-3230263.46748
1500453730.7246022	6276369.78696	7476811.89917	-3180557.92724
1500453731.7246022	6275628.79544	7337706.18263	-3250317.7068
1500453732.7246022	6216095.35278	7337744.2878	-3180929.51046
1500453733.7246022	6364160.38513	7461492.43256	-3255598.03615
1500453734.7246022	6259865.03695	7397554.73199	-3181748.65674
1500453735.7246022	6357305.9704	7428729.29991	-3146980.61845
1500453736.7246022	6329362.74896	7421125.58997	-3217270.11759
1500453737.7246022	6327691.256	7382330.20286	-3204768.6103
1500453738.7246022	6341618.53864	7400099.88097	-3173241.18094
1500453739.7246022	6225624.42634	7413417.78508	-3180400.41663
1500453740.7246022	6231669.81989	7396897.09504	-3309530.69297
1500453741.7246022	6293760.82059	7335503.39783	-3180926.80997
