time	x	y	z
1500453682.6783006	-5460398.58622	-1389114.82508	-1899287.82718
1500453683.6783006	-5521780.12706	-1359502.04006	-1903973.8677
1500453684.6783006	-5507734.81648	-1390359.89705	-1888681.73421
1500453685.6783006	-5471160.57154	-1347274.91914	-1946607.98122
1500453686.6783006	-5480086.9504	-1355444.48479	-1901648.06571
1500453687.6783006	-5452035.65393	-1422223.88417	-1915622.44303
1500453688.6783006	-5456010.3853	-1378586.25285	-1928658.49594
1500453689.6783006	-5441315.37526	-1418507.07014	-1897030.46129
1500453690.6783006	-5449572.04931	-1393538.54064	-1916441.15839
1500453691.6783006	-5422519.59696	-1439668.57497	-1940487.59876
1500453692.6783006	-5422782.7858	-1388486.5851	-1930946.14322
1500453693.6783006	-5423813.23319	-1467878.05523	-1953321.75031
1500453694.6783006	-5448362.44046	-1464806.86909	-1924646.78444
1500453695.6783006	-5457113.15668	-1470058.22025	-1950033.97402
1500453696.6783006	-5468734.40174	-1457645.93443	-1956836.34389
1500453697.6783006	-5398492.75814	-1448252.39542	-1930851.28648
1500453698.6783006	-5447350.60564	-1433984.15019	-1967442.27301
1500453699.6783006	-5408828.76234	-1433541.74345	-1986691.09603
1500453700.6783006	-5405640.55788	-1476587.38631	-2000144.14903
1500453701.6783006	-5433937.24503	-1500550.44357	-1979230.41754
1500453702.6783006	-5373557.59919	-1532178.28166	-1948170.52439
1500453703.6783006	-5401183.28846	-1504348.07914	-1965377.74655
1500453704.6783006	-5403105.74468	-1503985.66196	-1978292.17253
1500453705.6783006	-5416439.98844	-1496081.1166	-1995522.15373
1500453706.6783006	-5397958.83612	-1551590.48157	-2003611.59527
1500453707.6783006	-5421779.11484	-1502801.1266	-1968774.5201
1500453708.6783006	-5373370.30745	-1553960.66843	-2005372.336
1500453709.6783006	-5344212.48157	-1545611.9986	-2009909.09121
1500453710.6783006	-5383876.21857	-1517097.16616	-2028662.16907
1500453711.6783006	-5337944.69626	-1535176.09403	-1968593.36713
1500453712.6783006	-5333261.2014	-1571530.60825	-2004119.40675
1500453713.6783006	-5377160.89854	-1560350.25868	-2011554.63137
1500453714.6783006	-5366958.43219	-1596118.54251	-2014036.24747
1500453715.6783006	-5356076.66	-1599585.90883	-1972706.1699
1500453716.6783006	-5308912.41203	-1584168.42093	-2024010.09623
1500453717.6783006	-5373954.35103	-1600067.93223	-2006155.78504
1500453718.6783006	-5369180.20406	-1595444.20581	-1981902.48044
1500453719.6783006	-5359747.16201	-1613497.70302	-2034987.46752
1500453720.6783006	-5361145.59663	-1594841.90473	-1993309.67493
1500453721.6783006	-5295954.5847	-1638559.89497	-2040106.16567
1500453722.6783006	-5340309.51016	-1631739.45604	-2014413.28055
1500453723.6783006	-5292213.29919	-1623270.79255	-2030663.73139
1500453724.6783006	-5272291.6205	-1669761.55769	-2034765.16326
1500453725.6783006	-5277827.79743	-1678992.06943	-2031762.69207
1500453726.6783006	-5297703.1548	-1700118.00468	-2055105.78356
1500453727.6783006	-5318487.75686	-1676018.16536	-2049918.80407
1500453728.6783006	-5268888.70098	-1685921.82937	-2046104.75827
1500453729.6783006	-5318040.52822	-1706261.10525	-2012573.47757
1500453730.6783006	-5271215.96761	-1706982.14153	-2038384.70312
1500453731.6783006	-5275246.31725	-1729944.07789	-2076140.14339
1500453732.6783006	-5233867.11028	-1697173.04282	-2025240.6203
1500453733.6783006	-5260521.2773	-1721498.68377	-2053221.37152
1500453734.6783006	-5233541.17205	-1721977.79159	-2061220.37936
1500453735.6783006	-5240526.66356	-1719596.40753	-2018910.47724
1500453736.6783006	-5260736.44909	-1755292.13543	-2072424.30458
1500453737.6783006	-5221213.57462	-1726985.43181	-2054995.50276
1500453738.6783006	-5202858.59081	-1760592.42036	-2059864.64132
1500453739.6783006	-5193973.80034	-1796742.64423	-2099492.80491
1500453740.6783006	-5262539.44666	-1781105.34666	-2074701.78186
1500453741.6783006	-5206899.14921	-1801867.83274	-2094023.40989
1500453742.6783006	-5207635.70886	-1765713.71541	-2074488.07377
1500453743.6783006	-5198388.06752	-1816232.18393	-2098657.39075
1500453744.6783006	-5169938.83355	-1795768.21256	-2115789.90199
1500453745.6783006	-5224068.69932	-1768228.34109	-2116884.85374
1500453746.6783006	-5171145.59065	-1803225.18391	-2070259.21861
1500453747.6783006	-5220714.33017	-1841157.24852	-2090832.13078
1500453748.6783006	-5167799.05611	-1823289.54418	-2119160.45835
1500453749.6783006	-5182705.01644	-1863609.0852	-2050702.31802
1500453750.6783006	-5213941.14119	-1877186.67095	-2063310.92876
1500453751.6783006	-5146851.74921	-1843618.0998	-2063849.87416
1500453752.6783006	-5163249.55785	-1858374.73163	-2075348.14863
1500453753.6783006	-5180715.2304	-1863612.38592	-2081937.97138
1500453754.6783006	-5146716.50411	-1888373.06732	-2138159.10174
1500453755.6783006	-5158332.03238	-1895148.97543	-2071663.88366
1500453756.6783006	-5154483.29417	-1904054.0302	-2144575.54537
1500453757.6783006	-5134203.8986	-1909034.20897	-2128211.27275
1500453758.6783006	-5140581.22908	-1895570.43632	-2080378.7494
1500453759.6783006	-5138400.20788	-1889998.71265	-2084146.76508
1500453760.6783006	-5129926.25011	-1902954.50258	-2124755.84952
1500453761.6783006	-5162733.89111	-1908925.90195	-2149099.82963
1500453762.6783006	-5133409.13443	-1889667.85349	-2126707.06085
1500453763.6783006	-5133135.11094	-1905222.49847	-2142212.67397
