time	x	y	z
1500453726.3135626	-3138078.76241	-1827978.91754	-7336759.60274
1500453727.3135626	-3130612.43082	-1835325.00909	-7340608.27794
1500453728.3135626	-3114780.77397	-1837971.28041	-7340008.96459
1500453729.3135626	-3122065.42372	-1841483.62166	-7335744.10567
1500453730.3135626	-3101448.03061	-1845736.07854	-7341657.58534
1500453731.3135626	-3105975.69337	-1837731.91107	-7347501.1448
1500453732.3135626	-3109295.59834	-1843499.76725	-7341513.32892
1500453733.3135626	-3101454.78132	-1842422.13152	-7348236.83442
1500453734.3135626	-3080494.98375	-1854938.54592	-7353212.53892
1500453735.3135626	-3080810.52668	-1864050.54737	-7352757.00532
1500453736.3135626	-3076848.10838	-1854888.31399	-7336419.92816
1500453737.3135626	-3081999.27593	-1869353.71984	-7337052.50964
1500453738.3135626	-3065809.46809	-1872111.76728	-7343676.81387
1500453739.3135626	-3072419.95238	-1873529.87282	-7345253.05617
1500453740.3135626	-3057843.9667	-1874822.50178	-7334972.69922
1500453741.3135626	-3058066.63786	-1885122.0951	-7343380.29617
1500453742.3135626	-3055907.86856	-1890485.90975	-7344228.71932
1500453743.3135626	-3049028.77729	-1882634.96161	-7345391.72085
1500453744.3135626	-3037613.72235	-1893395.66381	-7337079.40623
1500453745.3135626	-3035984.65555	-1896232.01207	-7331386.35535
1500453746.3135626	-3026210.32776	-1893620.78701	-7346772.53491
1500453747.3135626	-3026898.01881	-1913740.77636	-7342675.90838
1500453748.3135626	-3020166.55916	-1909302.80973	-7336066.28908
1500453749.3135626	-3012260.0102	-1906667.15863	-7334339.93522
1500453750.3135626	-3002516.04433	-1925725.65812	-7334299.45993
1500453751.3135626	-3002899.92783	-1925539.94475	-7338063.16258
1500453752.3135626	-2991919.47074	-1932026.27519	-7335667.89491
1500453753.3135626	-2982349.89642	-1925811.47326	-7341130.29708
1500453754.3135626	-2977839.23227	-1942588.999	-7342046.24785
1500453755.3135626	-2971953.20643	-1948386.94804	-7327562.52559
1500453756.3135626	-2969168.61864	-1942232.69471	-7328584.06666
1500453757.3135626	-2964700.95766	-1950920.91631	-7334621.7428
1500453758.3135626	-2970623.91464	-1947258.43925	-7329445.63397
1500453759.3135626	-2964406.95724	-1961626.43978	-7332323.38339
1500453760.3135626	-2957019.70375	-1964544.62663	-7325979.33049
1500453761.3135626	-2953630.69378	-1960949.10003	-7331620.00826
1500453762.3135626	-2944493.97082	-1966658.57098	-7330123.93777
1500453763.3135626	-2945277.77721	-1965880.81153	-7323568.84501
1500453764.3135626	-2941583.36871	-1970764.66313	-7339329.91646
1500453765.3135626	-2922004.81658	-1980059.36218	-7321966.3282
1500453766.3135626	-2926249.77868	-1978589.17974	-7335023.90358
1500453767.3135626	-2911402.36279	-1996557.58616	-7319518.25182
1500453768.3135626	-2904609.79521	-1987853.56011	-7321365.0819
1500453769.3135626	-2905848.00947	-2001321.60981	-7329654.78312
1500453770.3135626	-2900117.35247	-1994042.99124	-7321421.63611
1500453771.3135626	-2889020.27856	-1995558.34811	-7332192.82578
1500453772.3135626	-2900620.39171	-2015341.54077	-7327136.36275
1500453773.3135626	-2890836.682	-2002428.16706	-7320237.07344
1500453774.3135626	-2885766.44228	-2013047.12369	-7330210.20071
1500453775.3135626	-2883507.38828	-2020899.94268	-7330252.87647
1500453776.3135626	-2864271.8658	-2031461.08768	-7324303.74288
1500453777.3135626	-2860074.98042	-2034880.45089	-7317760.72476
