time	x	y	z
1500453753.6244323	3557107.31955	-1240213.21963	-2614789.26572
1500453754.6244323	3622046.55566	-1130307.77902	-2721442.83449
1500453755.6244323	3562935.92599	-1208985.46308	-2684281.91754
1500453756.6244323	3677691.40006	-1214870.70299	-2635017.33385
1500453757.6244323	3671608.0152	-1182549.95382	-2646332.65874
1500453758.6244323	3607183.90369	-1211878.57433	-2604990.41212
1500453759.6244323	3700149.61861	-1305857.81202	-2691630.06798
1500453760.6244323	3673041.95352	-1180953.51477	-2639679.78897
1500453761.6244323	3603806.77112	-1305251.44604	-2646805.86255
1500453762.6244323	3649550.81092	-1238806.43519	-2741348.09108
1500453763.6244323	3703319.29573	-1283999.22513	-2604230.58471
1500453764.6244323	3664283.06591	-1322897.42992	-2635373.30827
1500453765.6244323	3696039.05694	-1190392.24733	-2696743.19479
1500453766.6244323	3657168.95004	-1349026.87269	-2624404.7402
1500453767.6244323	3713028.59616	-1346514.32593	-2646044.81904
1500453768.6244323	3746902.75139	-1228905.10546	-2666459.57633
1500453769.6244323	3747467.47216	-1361825.15233	-2625055.17856
1500453770.6244323	3798897.90475	-1288621.54959	-2626684.91964
1500453771.6244323	3761465.01937	-1245843.95934	-2637400.26024
1500453772.6244323	3699420.2657	-1345816.00713	-2669754.84597
1500453773.6244323	3714344.44223	-1387588.75172	-2727706.51048
1500453774.6244323	3839324.08488	-1296501.26749	-2660261.26435
1500453775.6244323	3789494.60561	-1402077.23313	-2730475.36632
1500453776.6244323	3723655.34636	-1366722.91062	-2676920.00144
1500453777.6244323	3748621.39058	-1298188.17625	-2623587.01338
1500453778.6244323	3883948.72578	-1279017.04502	-2635151.66775
1500453779.6244323	3741537.57957	-1321177.49811	-2721700.07876
1500453780.6244323	3853472.3738	-1304671.27201	-2610000.14127
1500453781.6244323	3817616.76086	-1363645.39897	-2729818.03579
1500453782.6244323	3901658.47672	-1381968.26649	-2606521.62262
1500453783.6244323	3876655.96891	-1349307.8999	-2599589.93321
1500453784.6244323	3934316.90966	-1444284.09497	-2644370.28019
1500453785.6244323	3854639.12042	-1388076.13306	-2678195.26394
1500453786.6244323	3944503.95438	-1485469.24997	-2684073.12303
1500453787.6244323	3898357.12838	-1447399.11382	-2700401.5197
