time	x	y	z
1500453685.3787396	-2058484.53538	-819127.226106	2157401.3102
1500453686.3787396	-2072292.95694	-819493.009244	2160682.40823
1500453687.3787396	-2086073.75719	-819847.869468	2163934.70681
1500453688.3787396	-2099827.06103	-820191.923328	2167158.4827
1500453689.3787396	-2113552.99271	-820525.285632	2170354.00875
1500453690.3787396	-2127251.67582	-820848.069473	2173521.55393
1500453691.3787396	-2140923.23328	-821160.386269	2176661.38344
1500453692.3787396	-2154567.78733	-821462.345789	2179773.75878
1500453693.3787396	-2168185.45953	-821754.056188	2182858.93778
1500453694.3787396	-2181776.37077	-822035.624037	2185917.17472
1500453695.3787396	-2195340.64125	-822307.154352	2188948.72033
1500453696.3787396	-2208878.39048	-822568.750625	2191953.82191
1500453697.3787396	-2222389.7373	-822820.514849	2194932.72338
1500453698.3787396	-2235874.79986	-823062.547552	2197885.66533
1500453699.3787396	-2249333.69561	-823294.947819	2200812.88505
1500453700.3787396	-2262766.54131	-823517.81332	2203714.61666
1500453701.3787396	-2276173.45304	-823731.240338	2206591.09111
1500453702.3787396	-2289554.5462	-823935.323793	2209442.53625
1500453703.3787396	-2302909.93547	-824130.157266	2212269.17689
1500453704.3787396	-2316239.73487	-824315.833027	2215071.23485
1500453705.3787396	-2329544.05771	-824492.442053	2217848.92902
1500453706.3787396	-2342823.01663	-824660.074059	2220602.47539
1500453707.3787396	-2356076.72356	-824818.817513	2223332.08713
1500453708.3787396	-2369305.28976	-824968.759663	2226037.9746
1500453709.3787396	-2382508.8258	-825109.986559	2228720.34543
1500453710.3787396	-2395687.44157	-825242.583072	2231379.40458
1500453711.3787396	-2408841.24628	-825366.632916	2234015.35432
1500453712.3787396	-2421970.34845	-825482.218669	2236628.39435
1500453713.3787396	-2435074.85592	-825589.421791	2239218.72181
1500453714.3787396	-2448154.87587	-825688.322647	2241786.5313
1500453715.3787396	-2461210.51479	-825779.000523	2244332.01498
1500453716.3787396	-2474241.87852	-825861.533646	2246855.36256
1500453717.3787396	-2487249.0722	-825935.999203	2249356.76135
1500453718.3787396	-2500232.20032	-826002.473357	2251836.39634
1500453719.3787396	-2513191.36671	-826061.031267	2254294.45016
1500453720.3787396	-2526126.67454	-826111.747104	2256731.10322
1500453721.3787396	-2539038.22631	-826154.694067	2259146.53365
1500453722.3787396	-2551926.12387	-826189.9444	2261540.91741
1500453723.3787396	-2564790.46841	-826217.56941	2263914.42826
