time	x	y	z
1500453755.5963378	-734684.291265	1960657.91799	-215548.982941
1500453756.5963378	-598074.357639	2015627.92484	-132390.014159
1500453757.5963378	-692638.259459	1989685.98989	-138395.45461
1500453758.5963378	-545460.110348	1959453.48281	-288831.262892
1500453759.5963378	-568611.949765	1918552.63647	-146426.780649
1500453760.5963378	-624434.465213	1886956.76989	-271093.030089
1500453761.5963378	-610889.15087	2005368.96332	-286916.518283
1500453762.5963378	-546790.473675	1988062.65522	-287240.455832
1500453763.5963378	-636871.300092	1866885.92493	-345908.981588
1500453764.5963378	-533151.830118	1879967.22757	-280464.10581
1500453765.5963378	-612715.025826	1977206.10448	-295289.117415
1500453766.5963378	-468013.273771	1902633.73976	-319645.492577
1500453767.5963378	-510656.121084	1993431.17679	-349897.648562
1500453768.5963378	-441382.758558	1856645.61181	-389537.269874
1500453769.5963378	-539344.243266	1937220.18371	-336839.047447
1500453770.5963378	-533185.671948	1891109.90272	-434545.020815
1500453771.5963378	-394465.380578	1853047.17137	-357339.757414
1500453772.5963378	-452742.247418	1906754.10808	-409070.489309
1500453773.5963378	-391854.149675	1942321.68412	-428947.984966
1500453774.5963378	-399239.398486	1858065.92704	-421982.042865
1500453775.5963378	-349912.189931	1883519.74241	-485744.961008
1500453776.5963378	-416831.886589	1946158.19276	-404437.369077
1500453777.5963378	-437760.750463	1815596.90766	-399339.337202
1500453778.5963378	-310869.038601	1906907.89236	-485686.31521
1500453779.5963378	-419864.717542	1949242.08368	-570170.556077
1500453780.5963378	-330057.764776	1878704.33587	-444293.513489
1500453781.5963378	-311377.871917	1909180.00327	-587166.816814
1500453782.5963378	-334667.688517	1805330.92018	-460741.244924
1500453783.5963378	-351006.286184	1821930.96502	-602264.355991
1500453784.5963378	-265283.278547	1924505.98425	-503858.201372
1500453785.5963378	-313770.101509	1837936.90835	-609763.73665
1500453786.5963378	-257278.910531	1797881.7006	-587536.610843
1500453787.5963378	-312894.595415	1781892.17689	-547216.083491
1500453788.5963378	-234177.105767	1768959.39838	-584400.642227
1500453789.5963378	-322571.755427	1802866.89515	-651198.808984
1500453790.5963378	-292491.374957	1869429.45939	-692363.580019
1500453791.5963378	-164737.109429	1840682.06989	-619142.002281
1500453792.5963378	-301456.317432	1802409.64949	-671907.505763
1500453793.5963378	-132868.07287	1747399.05899	-653833.522668
1500453794.5963378	-247318.976278	1776304.3205	-676486.841809
1500453795.5963378	-250870.81124	1729140.59032	-708636.977095
1500453796.5963378	-226952.93081	1758563.04808	-792756.286971
1500453797.5963378	-136323.156353	1778610.66983	-747105.386806
1500453798.5963378	-198898.876503	1750888.72066	-822097.810038
1500453799.5963378	-106109.829149	1742694.30081	-704138.902633
1500453800.5963378	-122866.138118	1717682.7705	-779908.001583
1500453801.5963378	-120217.565389	1743772.22949	-708190.127698
1500453802.5963378	-29506.7052203	1821973.6549	-871571.741964
1500453803.5963378	-88324.2410295	1780296.59104	-847147.767743
1500453804.5963378	-11748.642369	1697909.75431	-875424.667559
1500453805.5963378	-119402.144048	1785263.07763	-828064.742784
1500453806.5963378	13905.4279491	1775651.20486	-871328.814741
1500453807.5963378	-74655.437355	1715606.70822	-810561.89319
1500453808.5963378	-100864.387296	1783185.49107	-809029.038811
1500453809.5963378	-74483.7473712	1781640.04009	-855143.663008
1500453810.5963378	56656.9238354	1668713.11981	-859557.257193
1500453811.5963378	51983.2008602	1629151.35157	-853991.123161
1500453812.5963378	-55061.9141281	1739455.96316	-965154.624084
1500453813.5963378	40843.4255751	1698427.81772	-957064.72675
1500453814.5963378	67495.709322	1742789.14123	-1019086.52875
1500453815.5963378	120410.030513	1702704.96375	-899817.883876
1500453816.5963378	98027.723073	1610627.11764	-1044129.49566
1500453817.5963378	85372.5898773	1635667.0822	-1035838.46369
1500453818.5963378	37553.9023014	1691598.23777	-965526.433907
1500453819.5963378	56016.7525978	1632447.1412	-1019136.75652
1500453820.5963378	40430.2257251	1579929.297	-943581.53141
1500453821.5963378	176282.33129	1588066.65099	-959199.897329
1500453822.5963378	84231.6644667	1536705.02462	-977726.836909
1500453823.5963378	177820.096924	1669196.18856	-1022137.14848
1500453824.5963378	89679.1014015	1518562.98755	-1086929.57871
1500453825.5963378	197902.153056	1637238.78776	-1152666.46404
1500453826.5963378	132837.925714	1636877.53351	-1017217.34187
1500453827.5963378	141339.574408	1634023.11639	-1173585.60474
1500453828.5963378	233131.231409	1618772.67276	-1172638.41003
1500453829.5963378	194853.91247	1487766.0095	-1082168.18032
1500453830.5963378	248348.244443	1559399.61456	-1162393.26661
1500453831.5963378	201141.127767	1467699.43941	-1065930.7912
1500453832.5963378	206587.013843	1565852.09857	-1222628.15237
1500453833.5963378	204375.633952	1432746.16761	-1222088.38509
1500453834.5963378	327404.889393	1504610.76924	-1189674.63305
1500453835.5963378	303498.992507	1524830.34068	-1222504.36513
1500453836.5963378	297080.630073	1436540.47591	-1135807.65624
1500453837.5963378	377308.969294	1452218.8743	-1215537.18308
1500453838.5963378	297980.715693	1503524.97285	-1282963.94376
1500453839.5963378	343984.691833	1403441.1645	-1254521.8959
1500453840.5963378	311853.32441	1448393.42316	-1170559.9057
1500453841.5963378	301578.829487	1488444.24829	-1207839.43812
1500453842.5963378	313129.172799	1347212.61078	-1305558.79708
1500453843.5963378	337162.964772	1382200.31172	-1235591.61726
1500453844.5963378	466060.571955	1463569.23175	-1217761.88339
1500453845.5963378	387120.054122	1329514.35677	-1320314.43351
1500453846.5963378	437000.371665	1342285.60966	-1277313.107
1500453847.5963378	464829.62288	1321183.1347	-1300009.58967
1500453848.5963378	517700.688774	1421670.09341	-1277450.36621
1500453849.5963378	526667.489838	1297280.79931	-1345240.32012
1500453850.5963378	511305.943286	1255126.15885	-1395235.87932
1500453851.5963378	492029.562494	1382487.49366	-1356994.16668
1500453852.5963378	575111.519948	1352474.13174	-1413790.53186
1500453853.5963378	474465.843671	1246263.77854	-1421973.68171
1500453854.5963378	524770.61462	1282112.8179	-1389606.62936
1500453855.5963378	545664.315183	1282077.73448	-1402953.49172
1500453856.5963378	562336.900001	1249572.2712	-1341990.09644
1500453857.5963378	587990.969376	1234107.25072	-1365663.37884
1500453858.5963378	528156.913924	1175345.17486	-1435707.41455
1500453859.5963378	615839.77608	1222794.97168	-1386979.17231
1500453860.5963378	649513.068473	1190060.28265	-1512664.47664
1500453861.5963378	572776.969456	1163537.41159	-1429297.29079
1500453862.5963378	683945.460721	1275225.48249	-1400452.87004
1500453863.5963378	640061.221251	1143450.34252	-1513743.03299
1500453864.5963378	711471.767778	1113211.70778	-1504407.96887
1500453865.5963378	702220.15417	1139958.73588	-1450870.51204
1500453866.5963378	649932.776754	1147589.28525	-1522547.42854
1500453867.5963378	630386.38681	1127512.8207	-1514677.89849
1500453868.5963378	716783.010273	1198703.72901	-1538097.84025
1500453869.5963378	695913.591252	1186539.12239	-1474356.41548
1500453870.5963378	646453.343565	1164116.72948	-1515232.12283
1500453871.5963378	713843.870386	1041613.31342	-1465747.85818
1500453872.5963378	780987.658818	1034347.16906	-1530512.64549
1500453873.5963378	792952.109263	1045345.87081	-1595403.63637
1500453874.5963378	693232.527715	1057820.83496	-1565160.95721
1500453875.5963378	826437.560723	1052953.70572	-1600435.97947
1500453876.5963378	757257.464666	996876.404714	-1598282.25621
1500453877.5963378	824896.9373	939043.189239	-1511787.6624
1500453878.5963378	841722.554634	1074560.95532	-1558769.86844
1500453879.5963378	768479.244672	942991.091996	-1540423.43119
1500453880.5963378	865392.120623	953805.917529	-1644636.21741
1500453881.5963378	811587.993711	974891.686479	-1688455.46939
1500453882.5963378	823554.673993	879879.811175	-1625107.72241
1500453883.5963378	844939.001707	984310.700554	-1655385.59524
1500453884.5963378	916354.828503	944427.864601	-1671653.53993
1500453885.5963378	897184.965701	847214.037901	-1577701.82379
1500453886.5963378	803052.064997	918311.487166	-1688064.4138
1500453887.5963378	818270.610227	819324.959394	-1697680.51161
1500453888.5963378	871178.056346	911323.444826	-1587069.48316
1500453889.5963378	879948.261847	925968.766147	-1592531.05708
1500453890.5963378	980324.615914	814493.354642	-1600562.95494
1500453891.5963378	869727.945952	852030.330542	-1736000.56555
1500453892.5963378	937160.280456	810644.596406	-1611374.01424
1500453893.5963378	884082.702755	822701.005669	-1688261.4183
1500453894.5963378	997020.558422	741461.795513	-1663219.03319
1500453895.5963378	897172.322533	749185.397638	-1637132.39637
1500453896.5963378	1015723.5559	783018.491262	-1711049.98084
1500453897.5963378	973613.190231	779496.564038	-1697636.69404
1500453898.5963378	1030339.54776	707562.701891	-1743931.31162
1500453899.5963378	950342.336714	781367.896431	-1678060.41333
1500453900.5963378	945090.808001	763050.724298	-1759946.33123
1500453901.5963378	1084758.15028	647336.554142	-1760147.34394
1500453902.5963378	1047785.44147	656588.575028	-1777207.55782
1500453903.5963378	1051756.93914	632267.645423	-1698284.50987
1500453904.5963378	1012813.94176	601735.3757	-1803137.84666
1500453905.5963378	1030733.3539	627564.987332	-1736701.82496
1500453906.5963378	1054189.67798	593444.982276	-1703973.18653
1500453907.5963378	1036290.60988	622869.571168	-1809736.65793
1500453908.5963378	1092209.57362	615600.815132	-1707998.65582
1500453909.5963378	1121643.83665	597848.383876	-1734619.58375
1500453910.5963378	1165278.9569	637720.842221	-1813040.59665
1500453911.5963378	1046022.8897	579449.982845	-1800633.4094
1500453912.5963378	1091024.60771	502981.003524	-1757877.07665
1500453913.5963378	1094608.51125	593659.762694	-1849930.10432
1500453914.5963378	1132466.4727	479981.183728	-1790203.13411
1500453915.5963378	1104308.00242	514899.88493	-1868099.09027
1500453916.5963378	1175120.77225	552986.282712	-1815853.69108
1500453917.5963378	1137215.21523	564383.308109	-1895447.03245
1500453918.5963378	1182836.64249	465477.96342	-1869478.74249
1500453919.5963378	1150317.67419	455301.305105	-1909808.03739
1500453920.5963378	1179703.48003	458197.587205	-1915684.29537
1500453921.5963378	1212291.62556	441797.959153	-1889661.03721
1500453922.5963378	1194699.33447	473641.884526	-1855195.67471
1500453923.5963378	1300023.98389	459330.308901	-1869963.10241
1500453924.5963378	1232055.76752	359678.493184	-1867009.74237
1500453925.5963378	1280752.24017	425513.789947	-1873264.26498
1500453926.5963378	1221009.09494	400865.822755	-1939037.89533
1500453927.5963378	1211346.34901	402028.9978	-1866254.39531
1500453928.5963378	1209223.25756	328605.414108	-1817312.31287
