time	x	y	z
1500453729.59296	-2526175.90492	3460541.92356	2668207.66477
1500453730.59296	-2499634.36398	3463868.7483	2686080.7799
1500453731.59296	-2466642.70081	3423385.25579	2649793.82807
1500453732.59296	-2453533.26884	3422860.27876	2705569.71642
1500453733.59296	-2508500.49434	3429353.09055	2660893.50978
1500453734.59296	-2427551.42299	3431425.9925	2683148.20699
1500453735.59296	-2470003.12613	3505888.2418	2624900.23046
1500453736.59296	-2470012.32199	3498698.45503	2685647.71161
1500453737.59296	-2466347.89193	3483912.0883	2610905.22679
1500453738.59296	-2447933.42787	3466720.27692	2645994.2069
1500453739.59296	-2406669.0915	3443146.07504	2608210.22825
1500453740.59296	-2377710.4032	3482197.51795	2604594.29645
1500453741.59296	-2397619.9029	3461611.08819	2650349.72383
1500453742.59296	-2351228.96271	3510266.37098	2638744.49587
1500453743.59296	-2410576.1043	3444062.93205	2642264.50324
1500453744.59296	-2403284.22748	3502061.64743	2661477.52627
1500453745.59296	-2325911.02955	3467563.8629	2596763.52705
1500453746.59296	-2376738.9373	3520049.45452	2649183.82937
1500453747.59296	-2312747.23668	3521499.25145	2651970.11136
1500453748.59296	-2363955.63806	3456313.62778	2633169.32098
1500453749.59296	-2346408.40472	3468392.54739	2602676.19903
1500453750.59296	-2295786.65712	3493630.74672	2607438.63126
1500453751.59296	-2281286.78075	3449998.95701	2610277.08584
1500453752.59296	-2314557.65205	3496483.73968	2560134.74356
1500453753.59296	-2299419.96539	3472839.47347	2633040.75674
1500453754.59296	-2249269.26399	3462015.55474	2596948.35271
1500453755.59296	-2237669.20831	3512150.52351	2570890.76208
1500453756.59296	-2284096.84039	3465753.80932	2623475.01397
1500453757.59296	-2283281.23813	3498696.46924	2549584.62999
1500453758.59296	-2218513.78587	3525730.91817	2611413.21395
1500453759.59296	-2222630.27318	3507626.22364	2548796.25056
1500453760.59296	-2253240.24707	3474699.69971	2556289.59226
1500453761.59296	-2223906.21515	3490142.02367	2548037.81026
1500453762.59296	-2211097.57755	3513223.45764	2541489.72473
1500453763.59296	-2183456.03137	3477035.50883	2598865.30992
1500453764.59296	-2212730.46314	3533534.91869	2565818.69309
1500453765.59296	-2178274.00208	3480546.02384	2516960.27413
1500453766.59296	-2192323.57194	3505185.09408	2531213.61564
1500453767.59296	-2157690.52368	3511064.67049	2548267.44699
1500453768.59296	-2174309.30556	3534366.34476	2547268.14717
1500453769.59296	-2107900.73958	3547850.79687	2568611.09849
1500453770.59296	-2130360.70824	3487423.47409	2544126.81102
1500453771.59296	-2108275.34444	3547557.50492	2538986.95068
1500453772.59296	-2088940.09484	3516263.19953	2492621.19341
1500453773.59296	-2111835.94389	3551624.39007	2505609.60153
1500453774.59296	-2111945.71326	3506653.00386	2485223.41649
1500453775.59296	-2102203.65006	3522186.11698	2487347.20978
1500453776.59296	-2064805.14972	3541801.90682	2496222.80607
1500453777.59296	-2024796.23722	3532192.8464	2512204.91769
1500453778.59296	-2083628.1799	3558448.09303	2504307.81111
1500453779.59296	-2075815.34969	3508936.88028	2492718.9458
1500453780.59296	-2021552.92338	3528356.23755	2497000.15393
1500453781.59296	-1993512.54621	3543908.06866	2482941.13861
1500453782.59296	-1979474.41049	3525966.0173	2489947.78313
1500453783.59296	-2021437.0054	3556928.82646	2488371.01377
1500453784.59296	-2005788.16301	3505091.91355	2485583.16017
1500453785.59296	-1940718.76817	3530064.09043	2458091.9993
1500453786.59296	-1952500.99113	3558720.87262	2503708.52693
1500453787.59296	-1921059.23692	3565950.94871	2437815.57793
1500453788.59296	-1924937.41412	3563244.02854	2441647.30736
1500453789.59296	-1927645.97442	3567502.18923	2481426.48239
1500453790.59296	-1953891.56967	3542049.16577	2453790.62403
1500453791.59296	-1959678.71261	3502346.50241	2452235.2248
1500453792.59296	-1873055.75773	3525051.30199	2485375.66891
1500453793.59296	-1887124.36376	3550516.51865	2424866.90145
1500453794.59296	-1870790.04557	3558549.82149	2450438.05333
1500453795.59296	-1868937.75431	3508279.32643	2455092.43556
1500453796.59296	-1860819.89726	3547256.77908	2461976.71204
1500453797.59296	-1895376.04507	3554315.19778	2462584.83879
1500453798.59296	-1843504.59477	3508856.53365	2397903.11626
1500453799.59296	-1821300.36424	3548367.40373	2397513.87318
1500453800.59296	-1814792.50639	3562967.50367	2442368.14368
1500453801.59296	-1826532.90715	3545541.04995	2418436.70648
1500453802.59296	-1801598.63762	3500535.59708	2419138.60578
1500453803.59296	-1826648.51706	3577295.01753	2374137.13146
1500453804.59296	-1783647.92983	3511381.53188	2405154.35149
1500453805.59296	-1756789.8163	3549162.68869	2413895.36112
