time	x	y	z
1500453757.8789556	-1724378.98162	281025.373393	-169209.54659
1500453758.8789556	-1711885.02435	233475.200777	-126744.974835
1500453759.8789556	-1768335.17233	212497.798402	-116688.601309
1500453760.8789556	-1800073.92502	180514.130783	-169389.226696
1500453761.8789556	-1759800.04762	186777.60806	-178765.599919
1500453762.8789556	-1778813.75385	155851.922242	-151125.541614
1500453763.8789556	-1793883.68946	196701.033905	-135141.2987
1500453764.8789556	-1836951.13506	140037.825463	-167254.202167
1500453765.8789556	-1831996.87384	152011.911175	-151004.008566
1500453766.8789556	-1886083.37054	157042.778473	-207235.231102
1500453767.8789556	-1856649.18827	151039.010065	-184139.005857
1500453768.8789556	-1902283.14156	152195.023398	-170473.55885
1500453769.8789556	-1868083.40547	99865.1788031	-214548.928246
1500453770.8789556	-1937170.76275	102656.628534	-196510.650188
1500453771.8789556	-1939428.62058	79628.5388836	-201168.524319
1500453772.8789556	-1908587.04502	109336.092954	-162840.246283
1500453773.8789556	-1984481.99679	88109.4382759	-228607.704174
1500453774.8789556	-1981143.09289	24193.1228414	-223625.622453
1500453775.8789556	-1973174.31368	30524.7086076	-230207.005912
1500453776.8789556	-1964230.99094	24939.8161596	-232820.509613
1500453777.8789556	-2008926.05651	-11140.3709808	-223345.110815
1500453778.8789556	-2057157.71378	13108.6753483	-213587.569301
1500453779.8789556	-2039473.10136	-27833.9039833	-197609.706932
1500453780.8789556	-2016973.86733	-45466.0689621	-179048.161158
1500453781.8789556	-2104209.65255	-70503.5207447	-230152.351938
1500453782.8789556	-2079681.99692	-20421.362612	-213442.017161
1500453783.8789556	-2057358.14579	-31854.9497497	-216243.310227
1500453784.8789556	-2112049.11141	-84515.4619463	-193074.60131
1500453785.8789556	-2131982.72971	-40370.1522172	-187898.438656
1500453786.8789556	-2116951.72945	-128875.906592	-207180.449775
1500453787.8789556	-2130642.13112	-118159.916843	-216516.736031
1500453788.8789556	-2142620.51083	-120409.193755	-202393.617481
1500453789.8789556	-2151351.05045	-149834.453889	-224053.095339
1500453790.8789556	-2190543.00178	-130133.740007	-247402.459993
1500453791.8789556	-2232217.67367	-137076.132552	-232669.844411
1500453792.8789556	-2209775.75944	-187952.969076	-207435.35412
1500453793.8789556	-2219644.6914	-169036.940404	-269945.573952
1500453794.8789556	-2271766.6897	-179382.109314	-262406.150821
