time	x	y	z
1500453722.8085449	-4604348.24782	1519213.07704	1718714.83874
1500453723.8085449	-4583201.59441	1538521.0849	1710234.9964
1500453724.8085449	-4576068.79725	1539356.06187	1720719.51019
1500453725.8085449	-4569512.5248	1539462.91381	1721953.15168
1500453726.8085449	-4567290.79823	1543794.46013	1711604.4369
1500453727.8085449	-4558410.62295	1552793.89228	1721434.94407
1500453728.8085449	-4550524.36359	1562662.02392	1720929.63943
1500453729.8085449	-4538486.90927	1558577.42434	1733356.89253
1500453730.8085449	-4535698.81907	1559355.73552	1719306.78978
1500453731.8085449	-4522242.53402	1575797.81671	1722893.66479
1500453732.8085449	-4517597.53738	1572179.26834	1726449.39702
1500453733.8085449	-4503121.97911	1581180.076	1721134.69738
1500453734.8085449	-4498658.05484	1598614.96037	1725525.87521
1500453735.8085449	-4492746.03443	1587979.18331	1733216.30848
1500453736.8085449	-4481987.11318	1591933.03924	1725915.24362
1500453737.8085449	-4472073.84463	1603563.88083	1744776.65991
1500453738.8085449	-4474987.33748	1602871.67064	1739804.70934
1500453739.8085449	-4455873.40743	1609242.28583	1740054.36037
1500453740.8085449	-4453637.54939	1628318.36609	1739441.57925
1500453741.8085449	-4433468.06126	1619783.96947	1749705.4266
1500453742.8085449	-4439948.57845	1636078.92613	1746388.6535
1500453743.8085449	-4427732.20046	1647268.71726	1748183.11537
1500453744.8085449	-4406378.57828	1650266.77028	1756205.94872
1500453745.8085449	-4413224.51856	1658737.39478	1750330.3283
1500453746.8085449	-4389736.09479	1650540.69845	1757243.87417
1500453747.8085449	-4384282.07787	1666256.50991	1758943.30586
1500453748.8085449	-4387934.77512	1663417.07091	1754321.48623
1500453749.8085449	-4372637.38525	1676048.30387	1748504.63616
1500453750.8085449	-4365859.68147	1675871.12118	1752384.89543
1500453751.8085449	-4362480.24574	1677563.30323	1755526.40897
1500453752.8085449	-4344947.93339	1686086.18828	1755181.96107
1500453753.8085449	-4341755.37638	1702125.3543	1766208.41812
1500453754.8085449	-4330531.91005	1701777.65211	1754617.78828
1500453755.8085449	-4329203.62518	1706122.78817	1759646.78028
1500453756.8085449	-4306857.10902	1707293.31112	1760733.65046
1500453757.8085449	-4302099.82297	1720430.40456	1768655.32481
1500453758.8085449	-4291069.62366	1718184.34017	1765204.34565
1500453759.8085449	-4280622.21336	1722493.15261	1775928.70972
1500453760.8085449	-4284787.78906	1739943.47915	1774751.50689
1500453761.8085449	-4268318.84539	1739174.33716	1776977.92268
1500453762.8085449	-4255991.9447	1735498.22124	1779990.77045
1500453763.8085449	-4262530.8029	1740581.58604	1767204.15564
1500453764.8085449	-4240042.76817	1750836.71546	1776262.85053
1500453765.8085449	-4230459.69028	1751211.77523	1777847.58092
1500453766.8085449	-4227025.74861	1770283.00404	1772088.97058
1500453767.8085449	-4217844.73385	1770521.63165	1777571.06183
1500453768.8085449	-4204676.53127	1776140.57853	1773693.41987
1500453769.8085449	-4208373.0243	1780076.06128	1785404.25618
1500453770.8085449	-4197533.96361	1792285.12815	1778736.69716
1500453771.8085449	-4183344.32177	1779278.14809	1782521.61124
1500453772.8085449	-4169656.39529	1800919.1797	1785067.1333
1500453773.8085449	-4168722.21053	1794445.9873	1781265.33288
